Kuwait3	38.04	4.00	283.62	70930.83	0.02971702	0.18895625	-0.02861313
Bahrain3	10.77	1.27	61.71	48661.36	0.026485138	0.25675125	0.002307602
Oman3	25.04	3.72	160.70	43236.92	0.046050365	0.29800625	-0.009213038
Japan3	505048.93	127.12	4766.02	37492.40	-0.000789116	0.23087625	0.007579173
Mongolia3	13527.84	2.93	34.95	11947.93	0.015257656	0.42210625	0.057564568
Korea3	1382770.34	50.42	1786.82	35435.86	0.005339437	0.30488375	0.019365042
China3	61183.13	1367.82	18228.36	13326.58	0.005113606	0.46299125	0.059814826
HongKongSAR3	2268.21	7.27	401.65	55274.50	0.00721237	0.23320875	0.017211819
TaiwanProvinceofChina3	14830.89	23.43	1081.48	46150.59	0.002417806	0.2215275	0.020141136
Vietnam3	2591438.56	90.73	513.25	5657.02	0.010662914	0.28366	0.045586902
Cambodia3	38107.55	15.31	50.26	3282.02	0.015634762	0.221335	0.039433636
Thailand3	9000.96	68.66	1068.42	15561.82	0.003944194	0.2472125	0.023416563
Malaysia3	963.92	30.71	770.45	25089.18	0.016658275	0.24961	0.03394273
Indonesia3	8153636.08	252.17	2688.81	10662.92	0.014060453	0.3384025	0.040257518
Philippines3	6836.13	100.15	694.93	6938.98	0.018389751	0.21288375	0.047342935
Singapore3	366.16	5.47	458.35	83798.43	0.014843098	0.28484875	0.026450431
Australia3	1554.11	23.61	1101.56	46648.16	0.015678902	0.26170875	0.005436068
NewZealand3	213.28	4.56	161.31	35416.73	0.014061888	0.2206375	0.006513901
Brazil3	1192.19	202.78	3291.54	16232.33	0.00886045	0.19483375	-0.002857348
Argentina3	697.20	42.67	854.47	20025.40	0.011797508	0.1754325	-0.001221055
Chile3	133717.52	17.82	410.29	23025.21	0.010741603	0.238805	0.014132059
Colombia3	487874.89	47.66	640.12	13430.45	0.011511514	0.24407625	0.023915089
Venezuela3	55.26	30.21	542.20	17949.87	0.014074576	0.2478325	-0.018875823
Peru3	444.15	30.81	373.52	12123.66	0.011259651	0.24250625	0.029331558
Paraguay3	26311.92	6.66	58.68	8814.72	0.015085185	0.1699775	0.041790267
Uruguay3	630.62	3.40	71.42	20980.52	0.004193411	0.20347625	0.034088535
Ecuador3	64.91	16.03	181.74	11339.30	0.016329354	0.27111	0.004528332
DominicanRepublic3	1899.47	9.88	138.69	14032.67	0.010183892	0.2400125	0.043529476
Bolivia3	38.49	10.56	70.37	6662.72	0.015892354	0.19475375	0.034650005
SouthAfrica3	2936.83	54.06	709.21	13119.24	0.0150587	0.1997475	-0.003323003
Kenya3	3673.52	43.00	133.20	3097.70	0.027201493	0.1950325	0.034350807
Tanzania3	39178.81	46.74	128.33	2745.26	0.022810398	0.28652625	0.040509213
Nigeria3	62637.88	173.94	1054.31	6061.42	0.027500474	0.1500275	0.017381106
Ethiopia3	1114.37	88.35	145.41	1645.87	0.016000524	0.35401125	0.073659989
Sudan3	22.91	37.29	159.30	4271.94	0.005227136	0.16224125	-0.020307258
Angola3	1526.52	25.79	177.52	6883.72	0.029997408	0.27850125	-0.004478037
RepublicofCongo3	1516.26	4.27	28.40	6643.37	0.024992292	0.34638375	0.000634105
DemocraticRepublicoftheCongo3	9263.90	79.30	58.01	731.51	0.029998998	0.15207875	0.067663078
Cameroon3	13067.53	22.54	68.02	3017.32	0.024995271	0.2785725	0.012593304
